epoch,train_loss,val_loss,val_cer,val_wer,lr
1,3.924264399131926,3.1971457696730092,1.0,4.749595085249316,0.0003333333333333333
2,3.1845796497741548,3.182479173906388,1.0,4.749595085249316,0.0006666666666666666
3,3.178823924300694,3.157851549886888,0.9761684773636498,4.639213298203323,0.001
4,3.1703515430488207,3.137860590411771,0.9809104771339575,4.6633791795669515,0.000998894604918461
5,3.164589512466204,3.125375424661944,0.9705681678402645,4.61401858272112,0.0009955833566366163
6,3.0030566630977216,2.5923422228905464,0.7895684191016552,4.265480062802568,0.0009900810439931104
7,2.528650077262727,1.7079216357200377,0.5281950968455156,2.529849046488843,0.0009824122416519164
8,2.096331432904347,1.1036783899030378,0.3334104009944163,1.597883753397706,0.0009726112003459197
9,1.8083236866658277,0.919086012148088,0.2763301890094083,1.3046442289729716,0.0009607216939048322
10,1.6429645725996187,0.6826833601920835,0.20011772556301363,0.9481163599104474,0.0009467968237506411
11,1.542730951663291,0.5634277847505385,0.17102134594144155,0.81300021507275,0.000930898781733769
12,1.4709930726797273,0.6092357664339004,0.18846407298111756,0.8881103747552941,0.0009130985723691714
13,1.4196632474955946,0.5351342251223903,0.1642735665228783,0.7768392287558151,0.0008934756957129371
14,1.3781549535175361,0.4887667192566779,0.14876635082508194,0.7019902647042233,0.000872117792295739
15,1.3399535146090065,0.4342037679687623,0.13544732206318497,0.6396602376381788,0.000849120251698948
16,1.3097772598266602,0.42099312524641713,0.1310847838626248,0.6199867182366278,0.0008245857865216071
17,1.285875921792323,0.41860546748484334,0.1297112353388661,0.6125998823714591,0.0007986239736410308
18,1.265463927594742,0.3977594942815842,0.12524374236188993,0.5922167629662206,0.0007713507648158695
19,1.2317765738704416,0.39574998328762667,0.1243549977872931,0.5873736399509363,0.0007428879688174085
20,1.2194419798284475,0.38912409255581515,0.12247861021240167,0.5789403879530145,0.0007133627074020259
21,1.188535468413098,0.3594183693489721,0.11455711128815896,0.5432375349925976,0.0006829068475545688
22,1.2010290708282205,0.3926607144455756,0.1256696733207948,0.5974175077741556,0.0006516564125383889
23,1.184532719378424,0.35532329495876064,0.11212100124901311,0.5315776720165883,0.0006197509743824265
24,1.1579101484010714,0.34342712740744313,0.11070901456349837,0.5225529283945991,0.0005873330305186492
25,1.1397801938623484,0.32275719027365407,0.10486649389163571,0.4951873457358028,0.0005545473673539287
26,1.137296871678664,0.3404483626927099,0.11043544353967835,0.5231330408682446,0.0005215404136187988
27,1.128144641323845,0.35898861817775235,0.11887783091189583,0.5586578144814042,0.0004884595863812011
28,1.1212246013749945,0.3233779284261888,0.10512925767143128,0.4957067152183775,0.00045545263264607123
29,1.0985320313732223,0.30872670104426725,0.10184622316908411,0.48296986307849976,0.00042266696948135054
30,1.0874190017728522,0.3084177410890979,0.10026957030657113,0.4748119193032404,0.0003902490256175735
31,1.0670741415850007,0.29214673176888495,0.0961582453679432,0.45144980724100175,0.00035834358746161116
32,1.0525567448965394,0.2905341305078999,0.09622852038291158,0.45363037187485716,0.00032709315244543104
33,1.0474099670306292,0.2892633001169851,0.0941096215657976,0.4457669713463168,0.0002966372925979742
34,1.0300609171390533,0.27991159572716684,0.09409169316136214,0.4449817641408468,0.0002671120311825915
35,1.0291385349660818,0.27183229500247585,0.09117880485907698,0.4308054406919824,0.0002386492351841305
36,1.0167269771642025,0.2691088842768823,0.09095656053120554,0.4295044295112099,0.00021137602635896914
37,1.0109112988604176,0.2588472424014922,0.08927376063368961,0.4213534638008782,0.00018541421347839277
38,0.9985872512996787,0.2590801230361385,0.08994710706879788,0.42523223120498915,0.00016087974830105204
39,0.9864167686146085,0.2618720754981041,0.08843522614326531,0.4188819641598089,0.00013788220770426097
40,0.9661781970817264,0.26205347021741254,0.08819546717113472,0.41733088386822115,0.00011652430428706278
41,0.9617043515243152,0.26357675487956694,0.08857071492705049,0.41973299765232625,9.690142763082874e-05
42,0.9623850330267802,0.25470685261872505,0.08627891432416034,0.4076575867077314,7.91012182662311e-05
43,0.954292513651423,0.24982938735235122,0.08609371203204788,0.40767551166689303,6.320317624935883e-05
44,0.9475273050294064,0.25154372112404916,0.08521986181858814,0.40472764413142304,4.92783060951678e-05
45,0.9421372870997627,0.25162624988344406,0.08569387193600973,0.4057759343778208,3.738879965408014e-05
46,0.9319923021415673,0.24901099767415755,0.08464046210699916,0.4009755958609322,2.7587758348083594e-05
47,0.934014756785761,0.24649603208226542,0.08340736533846094,0.39478919162576953,1.991895600688956e-05
48,0.9150987344213052,0.24584699410103983,0.08450030672417536,0.3991864042920275,1.4416643363383886e-05
49,0.9300779647166186,0.24529743266682472,0.08447556643166686,0.39925382906563595,1.1105395081539185e-05
50,0.9340683785405489,0.24603081578689237,0.08379537101557163,0.39703213779349866,1e-05
