epoch,train_loss,val_loss,val_cer,val_wer,lr
1,3.281524082221607,3.108992845781388,0.8256079868130745,4.749595085249316,0.001
2,2.5612762387436216,1.9756818894417054,0.5622244414724297,2.678763116420572,0.001
3,1.660604178315342,1.0194549425955741,0.29598856318243894,1.397378103554273,0.001
4,1.194086650515547,0.8169383752730585,0.24000879255987728,1.137885314537466,0.001
5,0.9974557925568949,0.6938740822576708,0.20800924138367718,0.9836565293366765,0.001
6,0.8840909523539023,0.5423895418643951,0.16133969598708675,0.7594983174471783,0.001
7,0.8044551180140807,0.5081926536175513,0.15003925055309758,0.7091490597992226,0.001
8,0.7616856198499699,0.45080778627626356,0.13615473633712807,0.6428513117052774,0.001
9,0.7055003198951778,0.5237595833116963,0.1574980289072768,0.7418004193920298,0.001
10,0.6871782113419901,0.4208377760744864,0.12940147781735245,0.6111643381630424,0.001
11,0.6555063256827911,0.42587635738234364,0.12967219848835979,0.6104065836158109,0.001
12,0.6300862503818946,0.44731829339458096,0.13979708686706543,0.6600692984356799,0.001
13,0.6153125528356816,0.4299060394687037,0.13041597200713076,0.6169181938581348,0.001
14,0.5872730401777985,0.41618735992139383,0.12889685973539955,0.608904288398171,0.001
15,0.5802019352074896,0.3697492333669816,0.1139195707473773,0.5370273170289744,0.001
16,0.5696154071552919,0.3760281806030581,0.11811549453912802,0.5571498812850066,0.001
17,0.5493917814870872,0.35800753918386274,0.11224630530620025,0.5260527151649379,0.001
18,0.5389302929144094,0.3608090596333627,0.11242010981338087,0.5312638427347324,0.001
19,0.5244551542961952,0.3516171444808283,0.11159913425082861,0.5249379505398973,0.001
20,0.5140500213250075,0.340074531974331,0.10784277231181214,0.509890893453755,0.001
21,0.5125565288385542,0.411585065626329,0.1301692776370451,0.6147040712923367,0.001
22,0.500069010965895,0.35745093659047156,0.11191507672268314,0.5256099968551753,0.001
23,0.5019565096290985,0.3356878163833772,0.10684855042707822,0.5057572583850308,0.001
24,0.48780719198212763,0.3366182261416989,0.10661608924041889,0.503605502467906,0.001
25,0.4802985340356827,0.3308820359168514,0.10723552605036496,0.5052097430788969,0.001
26,0.470533746746507,0.33249022979890147,0.10541653681355798,0.4971347214107279,0.001
27,0.46387799025172055,0.33091130516221445,0.10528517314510019,0.4964218893115349,0.001
28,0.4654899415108237,0.4205048704339612,0.1272992055503892,0.600492463730018,0.001
29,0.46795717324360764,0.33724079184955164,0.10747780312409494,0.5088662072050151,0.001
30,0.4677246944739087,0.3273984347620318,0.10428695088776678,0.49263535880504905,0.001
